freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev
100,-10,5,0.125036,0.005922641302662,11.768,4.63998599135816
1000,10,0.25,0.015042,0.000518092655806,-159.28,2.10669171926032
1000,10,0.5,0.030452,0.000612878454508,-157.786,0.979249712790359
1000,10,0.75,0.044754,0.000515441558278,-157.736,0.388432748361927
1000,10,1,0.060472,0.000722301875949,-158.196,0.74285260987628
1000,10,1.25,0.075556,0.000540444261696,-157.908,0.357589149723534
1000,10,1.5,0.090488,0.000588786888441,-158.132,0.204621601987668
1000,10,1.75,0.106252,0.000645809569455,-158.056,0.415126486748316
1000,10,2,0.121228,0.000430197629003,-157.912,0.423874981568858
1000,10,2.5,0.151978,0.000484530700782,-158.066,0.321216437935545
1000,10,3,0.1816,0.000765375724726,-158.146,0.328831263720467
1000,10,3.5,0.21254,0.000527257053059,-157.922,0.131224997618593
1000,10,4,0.24248,0.000672309452559,-157.918,0.090388052307814
1000,10,4.5,0.2731,0.000308220700148,-157.968,0.157702251093635
1000,10,5,0.30274,0.000642650760522,-157.972,0.134238593556399
1000,-10,0.25,0.014848,0.00025073890803,7.55,1.22317210563355
1000,-10,0.5,0.030198,0.000550654156436,11.54,2.28598993873551
1000,-10,0.75,0.045598,0.00055097186861,10.222,0.407025797708204
1000,-10,1,0.060662,0.000399712396605,10.492,0.695032373346739
1000,-10,1.25,0.075742,0.000615036584278,9.984,0.373135364177666
1000,-10,1.5,0.09032,0.000461627555503,9.878,0.180055546984813
1000,-10,1.75,0.105134,0.000774486926939,10.042,0.311159123279392
1000,-10,2,0.120802,0.000925834758475,9.984,0.123207142650092
1000,-10,2.5,0.15087,0.000776305352294,9.96,0.165075740192192
1000,-10,3,0.181238,0.000638137916128,10.038,0.091214034007931
1000,-10,3.5,0.21254,0.000527257053059,22.078,0.131224997618593
1000,-10,4,0.2417,0.000781024967591,10.068,0.179638525934723
1000,-10,4.5,0.27126,0.00037148351242,9.962,0.181989010657237
1000,-10,5,0.30184,0.000391152144312,10.054,0.082945765413311
10000,10,0.25,0.011198,0.000195650198058,-191.416,1.81640579166661
10000,10,0.5,0.022622,0.000288392094205,-191.144,0.72102704526252
10000,10,0.75,0.03391,0.000395979797464,-190.664,0.14842506526864
10000,10,1,0.045068,0.000239833275423,-191.598,0.194602158261413
10000,10,1.25,0.056604,0.000172568826849,-190.498,0.182537667345674
10000,10,1.5,0.068048,0.000264801812683,-190.268,0.181989010657238
10000,10,1.75,0.079182,0.000300449663005,-190.488,0.15303594349041
10000,10,2,0.090536,0.000345441746174,-190.518,0.193700800204852
10000,10,2.5,0.11308,0.00027955321497,-190.43,0.086023252670426
10000,10,3,0.135836,0.000310048383321,-190.536,0.089888820216977
10000,10,3.5,0.15897,0.000280089271483,-189.424,0.050299105359837
10000,10,4,0.181906,0.000190341797827,-189.452,0.049193495504996
10000,10,4.5,0.2046,0.000187082869339,-189.428,0.065345237010818
10000,10,5,0.227,0.000244948974278,-189.426,0.076354436675284
10000,-10,0.25,0.0113284,0.000286211110895,-11.664,1.27154630273537
10000,-10,0.5,0.02245,0.000218288799529,-11.656,0.521085405667823
10000,-10,0.75,0.033706,0.000168166584077,-11.556,0.156620560591514
10000,-10,1,0.045036,0.000299132077852,-11.598,0.194602158261413
10000,-10,1.25,0.056388,0.000340396827247,-11.402,0.06340346993659
10000,-10,1.5,0.067736,0.000209714091086,-11.724,0.321916138147811
10000,-10,1.75,0.078822,0.000112782977439,-11.576,0.247951608181919
10000,-10,2,0.090462,0.000167839208768,-11.528,0.096798760322641
10000,-10,2.5,0.112882,0.000274353786196,-11.63,0.064420493633626
10000,-10,3,0.136184,0.000141173651933,-10.538,0.108258948821795
10000,-10,3.5,0.158572,0.000173118456555,-10.54,0.043588989435407
10000,-10,4,0.181176,0.000198443946746,-10.506,0.065802735505449
