freq (Hz),I_bias (mA),Lock-In Voltage (V),R Ave (mV),R Std Dev (mV),Phase Avg,Phase Std Dev,
100,-0.1,2.5,0.30404,0.05892183805687,-23.084,14.4061143269099,-25.584
100,-0.1,3,0.39138,0.050222275934091,-25.534,11.4540224375544,-28.034
100,-0.1,3.5,0.4444,0.059458851317529,-23.364,6.85846411377941,-25.864
100,-0.1,4,0.51842,0.075434720122766,-17.162,5.2861299643501,-19.662
100,-0.1,4.5,0.4898,0.069136929350384,-23.988,6.5920421721952,-26.488
100,-0.1,5,0.57386,0.036259247096431,-15.832,7.02936839267939,-18.332
1000,0.1,0.25,0.01924,0.013802463548222,-153.154,61.6086806383646,26.846
1000,0.1,0.5,0.03666,0.010009145817701,-129.772,14.1946158806781,50.228
1000,0.1,0.75,0.05372,0.006393903346157,-131.132,9.02436535164662,48.868
1000,0.1,1,0.08136,0.009869549128506,-128.878,3.10313873360506,51.122
1000,0.1,1.25,0.09396,0.011253799358439,-123.922,3.39619198515043,56.078
1000,0.1,1.5,0.11786,0.00506487907062,-130.274,5.43094190725697,49.726
1000,0.1,1.75,0.1217,0.013435028842544,-131.554,3.18894653451575,48.446
1000,0.1,2,0.15924,0.011454387805553,-129.024,1.81118193453888,50.976
1000,0.1,2.5,0.20004,0.005314884758864,-130.822,5.01960855047483,49.178
1000,0.1,3,0.22222,0.010590656259175,-130.64,3.26245306479649,49.36
1000,0.1,3.5,0.2689,0.012370529495539,-128.5,1.11709444542527,51.5
1000,0.1,4,0.27838,0.043164070707013,-129.168,0.592722532050199,50.832
1000,0.1,4.5,0.34904,0.01003807750518,-130.686,2.40205745143616,49.314
1000,0.1,5,0.372,0.007451509914105,-130.42,0.725844335928852,49.58
1000,-0.1,0.25,0.02668,0.006812635319757,-13.2,20.7578671833115,-15.7
1000,-0.1,0.5,0.03782,0.005821254160402,-11.036,17.7458947365299,-13.536
1000,-0.1,0.75,0.05476,0.013432907354702,-22.642,6.00676868207858,-25.142
1000,-0.1,1,0.06612,0.008957789905998,-18.384,7.40622913499171,-20.884
1000,-0.1,1.25,0.09432,0.013413687039737,-14.68,3.46713137910867,-17.18
1000,-0.1,1.5,0.11164,0.00720610851986,-15.248,3.93752079359589,-17.748
1000,-0.1,1.75,0.12542,0.003495282535075,-15.796,1.79714495798197,-18.296
1000,-0.1,2,0.1581,0.007561415211453,-17.636,2.24783896220348,-20.136
1000,-0.1,2.5,0.18256,0.01418583800838,-15.576,3.39179598443067,-18.076
1000,-0.1,3,0.21418,0.009556516101593,-14.848,2.47033803354926,-17.348
1000,-0.1,3.5,0.2578,0.011372774507569,-15.258,3.21600217661618,-17.758
1000,-0.1,4,0.28784,0.011684733629827,-14.752,1.84897809613851,-17.252
1000,-0.1,4.5,0.32656,0.009542693540086,-14.69,0.828371897157309,-17.19
1000,-0.1,5,0.37302,0.003239135687186,-14.204,1.89979735761475,-16.704
10000,0.1,0.25,0.01214,0.00070922492906,-187.37,3.3535727217402,-7.37
10000,0.1,0.5,0.02446,0.001299230541513,-185.488,1.81652690593891,-5.488
10000,0.1,0.75,0.03702,0.000775886589651,-185.36,1.00707497238289,-5.36
10000,0.1,1,0.04926,0.000433589667774,-185.068,0.94385909965418,-5.068
10000,0.1,1.25,0.0614,0.000839642781187,-185.476,0.583078039373805,-5.476
10000,0.1,1.5,0.07398,0.000822800097229,-185.366,0.406607919253917,-5.366
10000,0.1,1.75,0.08638,0.000540370243444,-185.414,0.380039471634197,-5.414
10000,0.1,2,0.0982,0.000308220700148,-185.502,0.371981182319751,-5.502
10000,0.1,2.5,0.12346,0.000550454357781,-185.432,0.429150323313405,-5.432
10000,0.1,3,0.14802,0.000759605160593,-185.464,0.30286960890786,-5.464
10000,0.1,3.5,0.17182,0.000506951674225,-185.458,0.099849887330933,-5.458
10000,0.1,4,0.19598,0.001184060809249,-185.502,0.169764542823288,-5.502
10000,0.1,4.5,0.22074,0.000492950301755,-185.484,0.110136279218067,-5.484
10000,0.1,5,0.24484,0.000960728889958,-185.402,0.107563934476199,-5.40199999999999
10000,-0.1,0.25,0.0122,0.00025495097568,-8.446,2.4804293983099,-10.946
10000,-0.1,0.5,0.02408,0.000460434577329,-10.134,1.48009459157177,-12.634
10000,-0.1,0.75,0.03574,0.000702139587262,-9.702,0.864158550267253,-12.202
10000,-0.1,1,0.04774,0.000450555213043,-9.522,0.215220816837033,-12.022
10000,-0.1,1.25,0.06,0.0006,-9.726,0.546058604913429,-12.226
10000,-0.1,1.5,0.0714,0.000463680924775,-9.632,0.696505563509726,-12.132
10000,-0.1,1.75,0.08398,0.000676017751246,-9.804,0.435924305355872,-12.304
10000,-0.1,2,0.0956,0.000387298334621,-9.556,0.346309110477908,-12.056
10000,-0.1,2.5,0.11912,0.000432434966209,-9.73,0.351212186576719,-12.23
10000,-0.1,3,0.14284,0.00045607017004,-9.554,0.223897297884544,-12.054
10000,-0.1,3.5,0.16734,0.001350185172486,-9.812,0.239102488485586,-12.312
10000,-0.1,4,0.19076,0.00055497747702,-9.674,0.183929334256393,-12.174
10000,-0.1,4.5,0.21486,0.000397492138287,-9.6,0.125099960031968,-12.1
10000,-0.1,5,0.23832,0.001259761882262,-9.788,0.191232842367623,-12.288
1000,0.01,5,0.30846,0.005485252956792,-159.625,0.916133178091483,20.375
1000,0.02,5,0.31422,0.006568256998626,-155.5225,0.949434041942883,24.4775
1000,0.03,5,0.31794,0.003568332944107,-152.465,0.664203783990024,27.535
1000,0.04,5,0.31832,0.004699148859102,-147.9825,0.474999999999999,32.0175
1000,0.05,5,0.3279,0.006003332407921,-144.51,1.06489436095793,35.49
1000,0.06,5,0.33088,0.006385687120428,-142.6925,1.39198599130882,37.3075
1000,0.065,5,0.33822,0.005666303909958,-140.77,0.927613425229858,39.23
1000,0.07,5,0.34868,0.007807176186048,-138.2925,1.66636080526797,41.7075
1000,0.075,5,0.3462,0.002813360979327,-137.52,1.1273272225342,42.48
1000,0.08,5,0.35852,0.005994747701113,-136.535,1.60202996226662,43.465
1000,0.085,5,0.35432,0.005460036629914,-134.9475,1.40079441746461,45.0525
1000,0.09,5,0.36048,0.007539031768072,-133.36,2.35424439399708,46.64
1000,0.095,5,0.36682,0.005460494483103,-131.62,1.74541303612259,48.38
1000,0.1,5,0.37752,0.004684762534003,-130.2,0.709224929059885,49.8
1000,-0.01,5,0.30728,0.003873241536491,14.37,0.692339030629744,11.87
1000,-0.02,5,0.30824,0.004251235114646,10.9175,1.15231289153598,8.4175
1000,-0.03,5,0.31108,0.004412708918567,7.5975,0.369808509006125,5.0975
1000,-0.04,5,0.31436,0.005643846206268,3.6975,0.952273595139548,1.1975
1000,-0.05,5,0.32132,0.004875141023601,0.3275,1.22058387667542,-2.1725
1000,-0.06,5,0.3224,0.009954144865331,-3.23,1.00439036235918,-5.73
1000,-0.065,5,0.33474,0.006584299507161,-3.955,1.66287902947468,-6.455
1000,-0.07,5,0.33532,0.006225512027135,-7.185,1.62883393874268,-9.685
1000,-0.075,5,0.33568,0.005337321425584,-8.69,1.60750324001747,-11.19
1000,-0.08,5,0.34532,0.006485522338255,-9.1,1.17314392410593,-11.6
1000,-0.085,5,0.34826,0.00734186624776,-10.3625,1.16382630433698,-12.8625
1000,-0.09,5,0.3594,0.00535210239065,-12.235,1.65296702931426,-14.735
1000,-0.095,5,0.35964,0.010625582336983,-13.315,1.33292910539158,-15.815
1000,-0.1,5,0.36226,0.006150040650272,-15.2675,0.559843728195646,-17.7675
